Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
readmes.out/most_stared/golang/go.md,45,162,1607,1,0,2,2,0,0,68,1,0,0,0,5,0,0,0,0,10,0,12,0,0,1,0,4,1,34,0,0,0,0,0,0.0
readmes.out/most_stared/mrdoob/three.js.md,87,198,3069,1,0,2,1,0,0,89,1,0,0,2,4,0,0,0,0,7,0,12,0,1,0,0,18,5,39,0,0,0,0,38,19.0
readmes.out/most_stared/socketio/socket.io.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/reduxjs/redux.md,336,2594,24792,1,15,8,4,0,0,865,1,10,0,3,28,0,12,0,68,125,0,4,15,6,5,44,143,5,390,0,0,0,0,51,17.0
readmes.out/most_stared/webpack/webpack.md,759,2970,79527,0,0,9,7,0,0,1980,1,1,0,2,16,28,4,0,29,80,0,328,0,13,2,12,60,80,448,0,0,0,0,4,2.0
readmes.out/most_stared/Semantic-Org/Semantic-UI.md,115,679,7384,1,4,0,10,0,0,347,1,0,0,1,15,0,5,0,17,39,0,18,0,12,0,12,49,4,171,0,0,0,0,2,2.0
readmes.out/most_stared/hakimel/reveal.js.md,1265,6117,51707,1,11,34,15,1,0,1240,1,0,0,57,62,0,13,8,99,218,0,12,0,106,3,19,104,2,533,0,0,0,0,654,11.0
readmes.out/most_stared/h5bp/html5-boilerplate.md,93,379,3730,1,6,0,0,0,0,229,1,0,0,0,7,0,5,1,29,38,0,20,0,8,6,0,22,2,90,0,0,0,0,0,0.0
readmes.out/most_stared/rails/rails.md,105,580,4874,1,9,0,0,0,0,236,1,0,3,0,10,0,1,1,9,23,0,36,0,6,3,3,25,2,113,0,0,0,0,7,2.0
readmes.out/most_stared/meteor/meteor.md,75,166,2687,1,3,0,0,0,0,118,1,0,0,4,4,0,4,0,13,27,0,5,0,0,0,0,13,3,41,0,0,0,0,10,2.0
readmes.out/most_stared/expressjs/express.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/toddmotto/public-apis.md,786,9880,72772,1,1,46,0,0,0,3774,1,0,0,0,48,0,1,0,46,96,0,588,0,289,0,0,592,1,2112,0,0,0,0,0,0.0
readmes.out/most_stared/rg3/youtube-dl.md,1304,21550,88665,13,14,42,6,0,0,1878,1,0,31,25,75,0,12,1,127,311,0,0,0,346,12,24,87,1,825,0,0,0,0,621,11.0
readmes.out/most_stared/mui-org/material-ui.md,174,702,8957,0,11,1,2,0,0,255,1,0,0,3,14,6,1,0,2,25,0,28,0,2,1,3,33,13,102,0,0,0,0,26,8.0
readmes.out/most_stared/kubernetes/kubernetes.md,87,253,3329,1,3,0,0,2,0,119,1,0,0,2,6,1,0,0,0,13,2,13,0,0,0,0,17,4,60,0,0,0,0,8,4.0
readmes.out/most_stared/chartjs/Chart.js.md,58,275,3246,1,6,1,2,0,0,128,1,0,0,2,10,0,3,0,6,20,0,0,0,8,1,0,16,4,57,0,0,0,0,4,2.0
readmes.out/most_stared/angular/angular.md,32,73,1892,1,3,0,0,0,0,49,1,0,0,0,4,0,0,0,0,5,0,5,0,0,0,0,9,5,20,0,0,0,0,0,0.0
readmes.out/most_stared/moment/moment.md,65,297,3911,0,5,0,0,0,0,151,1,0,0,0,5,0,1,0,6,17,0,10,0,21,0,1,16,9,64,0,0,0,0,0,0.0
readmes.out/most_stared/tensorflow/models.md,20,160,1320,1,2,0,0,0,0,43,1,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,8,0,24,0,0,0,0,0,0.0
readmes.out/most_stared/pallets/flask.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/resume/resume.github.com.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/nvbn/thefuck.md,493,2529,22115,1,10,0,0,0,0,1407,1,0,0,22,11,0,6,0,165,206,0,22,0,401,15,2,22,7,524,0,0,0,0,141,6.0
readmes.out/most_stared/Microsoft/TypeScript.md,100,528,4965,1,6,0,0,0,0,160,1,0,0,7,7,0,2,0,10,23,0,6,0,0,0,0,28,5,71,0,0,0,0,27,3.0
readmes.out/most_stared/jakubroztocil/httpie.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/nodejs/node-v0.x-archive.md,8,68,627,0,0,0,0,0,0,23,1,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,4,0,13,0,0,0,0,0,0.0
readmes.out/most_stared/h5bp/Front-end-Developer-Interview-Questions.md,39,193,2546,1,3,0,0,0,0,133,1,0,0,0,4,0,1,2,16,22,0,0,0,0,0,1,30,0,56,0,0,0,0,0,0.0
readmes.out/most_stared/getlantern/lantern.md,310,1033,11042,1,8,14,3,0,0,477,1,0,0,20,26,0,4,2,28,69,0,44,0,31,1,9,39,3,200,0,0,0,0,60,3.0
readmes.out/most_stared/jlevy/the-art-of-command-line.md,620,5756,40233,1,12,3,0,0,0,2086,1,0,0,19,16,0,31,0,233,247,0,9,0,504,11,31,115,4,865,0,0,0,0,73,3.0
readmes.out/most_stared/google/material-design-icons.md,41,225,1998,1,3,4,0,0,0,78,1,0,0,1,8,0,1,0,2,10,0,1,0,6,1,0,8,0,39,0,0,0,0,3,3.0
readmes.out/most_stared/iluwatar/java-design-patterns.md,49,259,2756,5,0,0,0,0,0,95,1,0,0,0,5,1,1,0,3,12,0,13,0,5,0,0,8,5,41,0,0,0,0,0,0.0
readmes.out/most_stared/django/django.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/jekyll/jekyll.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/most_stared/justjavac/free-programming-books-zh_CN.md,727,1606,37801,1,7,48,1,0,0,2483,1,0,0,0,57,1,77,0,545,551,0,1,0,0,0,0,545,6,699,0,0,0,0,0,0.0
readmes.out/most_stared/ionic-team/ionic.md,54,196,2191,2,0,6,0,0,0,93,1,0,0,0,8,0,1,0,2,11,0,10,0,0,0,0,14,3,43,0,0,0,0,0,0.0
