mentity,kind,stereotype,id,,,
core::FileReader::from_fd,MMethod,creational,prop_creational,,,
websocket::WebsocketConnection::can_read,MMethod,accessor,prop_accessor,,,
websocket::WebsocketConnection::read_http_frame,MMethod,collaborational,prop_collaborational,,,
websocket::WebsocketConnection::client,MMethod,accessor,prop_accessor,,,
websocket::WebsocketConnection::client=,MMethod,mutator,prop_mutator,,,
nlp::NLPProcessor::java_cp,MMethod,accessor,prop_accessor,,,
nlp::NLPProcessor::java_cp=,MMethod,mutator,prop_mutator,,,
nlp::NLPProcessor::process_file,MMethod,collaborational,prop_collaborational,,,
nlp::NLPProcessor::process_files,MMethod,collaborational,prop_collaborational,,,
nlp::NLPProcessor::process,MMethod,collaborational,prop_collaborational,,,
libevent::Connection::write_file,MMethod,collaborational,prop_collaborational,,,
libevent::Connection::write_callback,MMethod,collaborational,prop_collaborational,,,
libevent::Connection::event_callback,MMethod,collaborational,prop_collaborational,,,
libevent::Connection::read_callback,MMethod,collaborational,prop_collaborational,,,
libevent::Connection::native_buffer_event,MMethod,accessor,prop_accessor,,,
libevent::Connection::close_requested,MMethod,accessor,prop_accessor,,,
libevent::Connection::close_requested=,MMethod,mutator,prop_mutator,,,
libevent::Connection::closed,MMethod,accessor,prop_accessor,,,
libevent::Connection::closed=,MMethod,mutator,prop_mutator,,,
libevent::Connection::native_buffer_event=,MMethod,mutator,prop_mutator,,,
core::math::Float::abs,MMethod,accessor,prop_accessor,,,
core::math::Float::acos,MMethod,accessor,prop_accessor,,,
core::math::Float::sin,MMethod,accessor,prop_accessor,,,
core::math::Float::sqrt,MMethod,accessor,prop_accessor,,,
core::abstract_text::Float::to_precision,MMethod,accessor,prop_accessor,,,
app::CheckBox::is_checked,MMethod,accessor,prop_accessor,,,
app::CheckBox::is_checked=,MMethod,mutator,prop_mutator,,,
ios::ui::CheckBox::ui_switch,MMethod,accessor,prop_accessor,,,
ios::ui::CheckBox::ui_switch=,MMethod,mutator,prop_mutator,,,
ios::ui::CheckBox::lbl,MMethod,accessor,prop_accessor,,,
ios::ui::CheckBox::lbl=,MMethod,mutator,prop_mutator,,,
ios::ui::CheckBox::layout,MMethod,accessor,prop_accessor,,,
ios::ui::CheckBox::layout=,MMethod,mutator,prop_mutator,,,
core::math::Float::floor,MMethod,accessor,prop_accessor,,,
markdown::HeadLine::level,MMethod,accessor,prop_accessor,,,
markdown::HeadLine::level=,MMethod,mutator,prop_mutator,,,
markdown::HeadLine::title,MMethod,accessor,prop_accessor,,,
markdown::HeadLine::title=,MMethod,mutator,prop_mutator,,,
markdown::HeadLine::id,MMethod,accessor,prop_accessor,,,
markdown::HeadLine::id=,MMethod,mutator,prop_mutator,,,
core::Pattern::is_in,MMethod,accessor,prop_accessor,,,
core::Pattern::search_in,MMethod,collaborational,prop_collaborational,,,
core::Pattern::search_index_in,MMethod,collaborational,prop_collaborational,,,
