Document,Lines,Words,Chars,Heading 1,Heading 2,Heading 3,Heading 4,Heading 5,Heading 6,Nb nodes,MdDocument,MdBlockQuote,MdIndentedCodeBlock,MdFencedCodeBlock,MdHeading,MdHtmlBlock,MdUnorderedList,MdOrderedList,MdListItem,MdParagraph,MdThematicBreak,MdSoftLineBreak,MdHardLineBreak,MdCode,MdEmphasis,MdStrongEmphasis,MdLink,MdImage,MdText,MdStrike,MdSuper,MdMaths,MdWikilink,LOC,avg
readmes.out/random1/yannanwu/onestep.md,8,8,145,0,0,1,0,0,0,15,1,0,0,0,1,0,1,0,1,3,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0.0
readmes.out/random1/mako34/ReactNative_ImagePicker.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/ToddEdwardsWeb/_18_Comast_Xfinity.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/mlr-io/FMS.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/arkorsky/XWebAdmin.md,4,1,41,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/ycs0405/android-crawler.md,24,17,476,0,0,0,0,0,0,42,1,0,0,0,0,0,4,0,5,12,0,0,0,0,0,0,4,1,15,0,0,0,0,0,0.0
readmes.out/random1/mydosh/mydosh.github.io.md,131,1454,7160,1,6,5,0,0,0,67,1,0,4,0,12,2,0,0,0,17,0,1,0,0,0,0,0,0,30,0,0,0,0,49,12.0
readmes.out/random1/quocdung/cropper.md,759,2108,15529,1,10,64,3,0,0,1286,1,5,0,12,78,0,87,0,204,284,0,1,0,135,0,17,26,1,435,0,0,0,0,69,5.0
readmes.out/random1/southpolemonkey/comp9311-database-systems.md,108,1327,8541,1,0,0,0,0,0,191,1,0,0,0,1,0,5,0,21,46,0,35,0,0,0,0,0,0,82,0,0,0,0,0,0.0
readmes.out/random1/Lapsec/deep-into-node.md,32,35,531,1,0,0,0,0,0,43,1,0,0,0,1,0,2,0,6,14,0,1,0,0,0,1,0,1,16,0,0,0,0,0,0.0
readmes.out/random1/Niky-Noodle/Test.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/Ne00n/OpenVPN-install.md,250,2005,15612,0,8,7,2,0,0,493,1,13,0,1,17,0,8,0,47,127,0,4,0,7,2,3,43,3,217,0,0,0,0,3,3.0
readmes.out/random1/danyohan/Desarrollo.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/ycxGHub/pthon.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/jiezheng907/newgmacs.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/elmalick/Hortalaimmobilier-1.md,5,10,74,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/nisar1991/nisar.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/daniel-mandl/hello-world.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/miguelramosfdz/AlloyActionJackson.md,18,51,787,0,1,2,0,0,0,33,1,0,0,0,3,0,1,0,2,7,0,0,0,0,0,0,5,1,12,0,0,0,0,0,0.0
readmes.out/random1/jaemk/sudoku.md,8,15,145,1,1,0,0,0,0,12,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0.0
readmes.out/random1/AnastasiaPetrikevich/NET.S.2018.Petrikevich.02.md,10,111,837,1,0,0,0,0,0,13,1,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0.0
readmes.out/random1/miganrobles/numeros-primos.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/fccagroup/fccagroup.github.io.md,2,2,22,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/obrunorf/yolo-bear.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/jwpescola/escola.md,1,2,8,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/Orsox/doxygen.md,73,366,3048,1,5,1,0,0,0,147,1,0,0,0,7,0,9,1,21,29,0,15,0,0,0,0,2,0,53,0,0,0,0,0,0.0
readmes.out/random1/TODAQK/cronmod-scripts.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/jhez94/ERTSLab3.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/samdubey/EquinoxProject.md,74,357,2902,1,9,0,0,0,0,166,1,0,0,0,10,1,6,0,29,41,0,0,0,0,0,4,7,0,65,0,0,0,0,0,0.0
readmes.out/random1/juliofagundes/laradock.md,1180,3700,29780,1,8,9,7,0,0,1548,1,7,0,47,25,40,28,3,135,303,0,39,0,174,4,26,104,3,559,0,0,0,0,173,3.0
readmes.out/random1/bmadueme/paper-onboarding.md,114,516,4775,1,6,0,4,0,0,125,1,0,0,5,11,1,1,1,4,13,0,9,0,2,0,0,17,11,47,0,0,0,0,47,9.0
readmes.out/random1/buzzdecafe/expression-parser.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/wapmorgan/PhpCodeFixer.md,127,1521,6928,4,2,0,0,0,0,132,1,0,0,8,6,0,2,6,14,21,0,3,0,9,1,2,8,4,47,0,0,0,0,70,8.0
readmes.out/random1/Kashyap2/materialize.md,62,350,2790,1,5,1,0,0,0,154,1,0,0,0,7,0,6,0,34,40,0,0,0,0,0,4,6,3,53,0,0,0,0,0,0.0
readmes.out/random1/timwebster9/cloud-formation-terraform.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/RookieZhou94/nginx-rtmp-module.md,333,3204,9087,1,1,11,0,0,0,141,1,0,6,0,13,0,2,0,16,29,0,15,0,1,0,0,1,0,57,0,0,0,0,233,38.0
readmes.out/random1/flazaar/transactional-website-back.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/zjj0425/deeptest-1.md,36,3,303,0,1,0,0,0,0,38,1,0,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0.0
readmes.out/random1/bih/yo-ruby.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/NazarMat/secondbase.md,148,736,6557,0,3,0,6,0,0,193,1,0,0,9,9,1,4,0,21,37,0,1,0,26,0,0,6,3,75,0,0,0,0,47,5.0
readmes.out/random1/6597421183/Shark-Bait.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
readmes.out/random1/geetika6/cpp-oops-refrigerator-project.md,8,81,578,1,0,0,0,0,0,19,1,0,0,0,1,0,1,0,5,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0.0
readmes.out/random1/madbarua/scroller.md,103,525,4081,1,6,0,0,0,0,194,1,0,0,1,7,0,6,0,36,45,0,0,10,34,0,0,0,0,54,0,0,0,0,9,9.0
readmes.out/random1/Bosion21/hello-world.md,4,7,69,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0.0
readmes.out/random1/edmundyueng/test2.md,3,2,14,1,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0
readmes.out/random1/irmao/bolaodacopa.md,34,125,1060,1,6,0,0,0,0,63,1,0,0,0,7,0,0,0,0,8,0,0,0,10,0,0,4,0,33,0,0,0,0,0,0.0
readmes.out/random1/CWDN/immunology.md,16,98,603,1,1,0,0,0,0,32,1,0,0,0,2,0,1,0,6,8,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0.0
readmes.out/random1/tekii/go2xunit.md,2,3,15,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
